Incident ID,Year,Publishing Agency Name,Publishing Agency Unit,Agency Type Name,State Abbreviation,State Name,Division Name,Region Name,Incident Date,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
37973,1996,Los Angeles,,City,CA,California,Pacific,West,1996-10-07,Unknown,Not Specified,1,Intimidation,1,Commercial/Office Building,Anti-Asian,Individual,S,S
33858,1996,Palo Alto,,City,CA,California,Pacific,West,1996-10-08,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
35682,1996,St. Louis,,City,MO,Missouri,West North Central,Midwest,1996-10-10,White,Not Specified,1,Aggravated Assault,1,Bar/Nightclub,Anti-Asian,Individual,S,S
33898,1996,Fairfield,,City,CA,California,Pacific,West,1996-10-10,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
38265,1996,Redding,,City,CA,California,Pacific,West,1996-10-10,White,Not Specified,1,Aggravated Assault,1,Restaurant,Anti-Asian,Individual,S,S
33394,1996,Novato,,City,CA,California,Pacific,West,1996-10-11,White,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
37023,1996,Corvallis,,City,OR,Oregon,Pacific,West,1996-10-11,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1,Residence/Home,Anti-Asian,Individual,S,S
34711,1996,Lewiston,,City,ME,Maine,New England,Northeast,1996-10-13,White,Not Specified,1,Simple Assault,1,Air/Bus/Train Terminal,Anti-Asian,Individual,S,S
34994,1996,University of Massachusetts:,Amherst,University or College,MA,Massachusetts,New England,Northeast,1996-10-15,White,Not Specified,3,Simple Assault,3,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
33806,1996,San Francisco,,City,CA,California,Pacific,West,1996-10-15,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0,Commercial/Office Building,Anti-Asian,Business,S,S
33309,1996,Los Angeles,,City,CA,California,Pacific,West,1996-10-17,White,Not Specified,2,Intimidation,2,Residence/Home,Anti-Asian,Individual,S,S
34564,1996,Purdue University,,University or College,IN,Indiana,East North Central,Midwest,1996-10-18,Unknown,Not Specified,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
35193,1996,Benton Township,,City,MI,Michigan,East North Central,Midwest,1996-10-18,White,Not Specified,1,Shoplifting,0,Convenience Store,Anti-Asian,Business,S,S
